id,status,source,source_url,direction,role,pattern,why_considered,risk
ref-017,candidate,Pinterest,https://ru.pinterest.com/pin/1266706141191687/,technical-y2k,hero,editorial search result,graphic energy candidate,visual review required
ref-018,candidate,Pinterest,https://ru.pinterest.com/pin/85286986689597405/,quiet-premium,detail,editorial search result,detail candidate,visual review required
ref-019,candidate,Pinterest,https://ru.pinterest.com/pin/5840674510462904/,street-editorial,lifestyle,editorial search result,context candidate,visual review required
ref-020,candidate,Pinterest,https://ru.pinterest.com/pin/5136987070438480/,technical-y2k,hero,editorial search result,hierarchy candidate,visual review required
ref-021,candidate,Behance,https://www.behance.net/gallery/248824461/Sneaker-Catalog-Retouch-Studio-Series,quiet-premium,product,controlled studio light and material fidelity,retouch benchmark,do not infer claims
ref-022,candidate,Behance,https://www.behance.net/gallery/247220863/Spring-Garden-Editorial-Footwear-Story,street-editorial,lifestyle,product clarity with human and setting,storytelling benchmark,not a marketplace layout
ref-023,candidate,Behance,https://www.behance.net/gallery/248827083/AXERO-Brand-Identity-Sneaker-Visual-System,technical-y2k,system,consistent type palette and product focus,Visual DNA benchmark,fictional brand claims irrelevant
ref-024,candidate,Behance,https://www.behance.net/gallery/225690863/FOX1-SNEAKERLAUNCH,technical-y2k,hero,motion-led typography and photography,campaign hierarchy benchmark,not transferable as a whole
ref-025,candidate,Behance,https://www.behance.net/gallery/88004063/Sneaker-Design-Campaign,technical-y2k,system,one narrative drives visual system,coherence benchmark,cultural assets not reusable
ref-026,candidate,Behance,https://www.behance.net/gallery/245994469/Nature-Motion-Sneaker-Concept-Campaign,street-editorial,story,one scene family across campaign,series coherence benchmark,AI concept not fidelity proof
ref-027,candidate,Behance,https://www.behance.net/gallery/246824089/RedTape-Sneaker-3D-Motion-Poster-AI-PS,technical-y2k,hero,low camera and product-dominant perspective,hero composition benchmark,poster must be adapted for WB
ref-028,candidate,Behance,https://www.behance.net/gallery/255483541/REALISTIC-PRODUCT-COMPOSITING,street-editorial,lifestyle,perspective shadow and color match,fidelity QA benchmark,not a text-layout reference
ref-029,candidate,Behance,https://www.behance.net/gallery/249319097/ECHOS-ABOVE-Forest-green-Shoes-%28AI-Branding%29,quiet-premium,system,premium material and lifestyle consistency,AI art direction benchmark,requires product verification
ref-030,candidate,Behance,https://www.behance.net/gallery/246616995/ShoeStyle-E-commerce-UIUX-Brand-Identity,street-editorial,system,bold identity with restrained product scene,contrast benchmark,brand language not reusable
wb-fav-1486123071,approved_by_user,Wildberries,https://www.wildberries.ru/catalog/1486123071/detail.aspx,wb-performance-infographic,gallery-system,user-approved WB marketplace infographic,explicit user preference,local analysis only; never copy photos/text/claims
wb-fav-1516261808,approved_by_user,Wildberries,https://www.wildberries.ru/catalog/1516261808/detail.aspx,wb-performance-infographic,gallery-system,user-approved WB marketplace infographic,explicit user preference,local analysis only; never copy photos/text/claims
wb-fav-1281023913,approved_by_user,Wildberries,https://www.wildberries.ru/catalog/1281023913/detail.aspx,wb-performance-infographic,gallery-system,user-approved WB marketplace infographic,explicit user preference,local analysis only; never copy photos/text/claims
wb-fav-1260345864,approved_by_user,Wildberries,https://www.wildberries.ru/catalog/1260345864/detail.aspx,wb-performance-infographic,gallery-system,user-approved WB marketplace infographic,explicit user preference,local analysis only; never copy photos/text/claims
wb-fav-541574495,approved_by_user,Wildberries,https://www.wildberries.ru/catalog/541574495/detail.aspx,wb-performance-infographic,gallery-system,user-approved WB marketplace infographic,explicit user preference,local analysis only; never copy photos/text/claims
wb-fav-1346548697,approved_by_user,Wildberries,https://www.wildberries.ru/catalog/1346548697/detail.aspx,wb-performance-infographic,gallery-system,user-approved WB marketplace infographic,explicit user preference,local analysis only; never copy photos/text/claims
wb-fav-475964469,approved_by_user,Wildberries,https://www.wildberries.ru/catalog/475964469/detail.aspx,wb-performance-infographic,gallery-system,user-approved WB marketplace infographic,explicit user preference,local analysis only; never copy photos/text/claims
wb-fav-894742382,approved_by_user,Wildberries,https://www.wildberries.ru/catalog/894742382/detail.aspx,wb-performance-infographic,gallery-system,user-approved WB marketplace infographic,explicit user preference,local analysis only; never copy photos/text/claims
wb-fav-1346548696,approved_by_user,Wildberries,https://www.wildberries.ru/catalog/1346548696/detail.aspx,wb-performance-infographic,gallery-system,user-approved WB marketplace infographic,explicit user preference,local analysis only; never copy photos/text/claims
wb-fav-549145103,approved_by_user,Wildberries,https://www.wildberries.ru/catalog/549145103/detail.aspx,wb-performance-infographic,gallery-system,user-approved WB marketplace infographic,explicit user preference,local analysis only; never copy photos/text/claims
wb-fav-884641189,approved_by_user,Wildberries,https://www.wildberries.ru/catalog/884641189/detail.aspx,wb-performance-infographic,gallery-system,user-approved WB marketplace infographic,explicit user preference,local analysis only; never copy photos/text/claims
wb-fav-475964471,approved_by_user,Wildberries,https://www.wildberries.ru/catalog/475964471/detail.aspx,wb-performance-infographic,gallery-system,user-approved WB marketplace infographic,explicit user preference,local analysis only; never copy photos/text/claims
wb-fav-1004363625,approved_by_user,Wildberries,https://www.wildberries.ru/catalog/1004363625/detail.aspx,wb-performance-infographic,gallery-system,user-approved WB marketplace infographic,explicit user preference,local analysis only; never copy photos/text/claims
wb-fav-1345971597,approved_by_user,Wildberries,https://www.wildberries.ru/catalog/1345971597/detail.aspx,wb-performance-infographic,gallery-system,user-approved WB marketplace infographic,explicit user preference,local analysis only; never copy photos/text/claims
wb-fav-1515799801,approved_by_user,Wildberries,https://www.wildberries.ru/catalog/1515799801/detail.aspx,wb-performance-infographic,gallery-system,user-approved WB marketplace infographic,explicit user preference,local analysis only; never copy photos/text/claims
wb-fav-1515799799,approved_by_user,Wildberries,https://www.wildberries.ru/catalog/1515799799/detail.aspx,wb-performance-infographic,gallery-system,user-approved WB marketplace infographic,explicit user preference,local analysis only; never copy photos/text/claims
wb-fav-1469189033,approved_by_user,Wildberries,https://www.wildberries.ru/catalog/1469189033/detail.aspx,wb-performance-infographic,gallery-system,user-approved WB marketplace infographic,explicit user preference,local analysis only; never copy photos/text/claims
user-approved-beauty-performance,approved_by_user,owner-reviewed local test,,beauty-performance,gallery-system,deep navy beauty series with coral edge light and left typography,explicit user preference 2026-09-14,pattern only; never copy product scene text or unsupported claims
